Num,Name,Rest Num,Time (Normal),Time (Min),Day,Day (Encoding),Orders,Wait
0,Caroline's,5,9:40,580,Friday,4,2,14
1,Blue Pepper,10,12:09,729,Monday,0,3,27
2,Bistro,13,15:34,934,Friday,4,3,27
3,Izakaya Underbelly,11,18:28,1108,Friday,4,1,17
4,Burger King,0,18:57,1137,Monday,0,4,11
5,Taco Villa,4,18:07,1087,Tuesday,1,1,6
6,Seed + Sprout,8,10:55,655,Friday,4,3,30
7,Bistro,13,17:29,1049,Saturday,5,2,21
8,Bistro,13,15:54,954,Monday,0,0,20
9,Blue Pepper,10,17:12,1032,Thursday,3,0,17
10,Blue Pepper,10,11:54,714,Monday,0,4,35
11,Roots,12,15:05,905,Monday,0,5,31
12,Blue Pepper,10,14:01,841,Monday,0,2,17
13,Burger King,0,20:17,1217,Wednesday,2,1,6
14,Roots,12,9:40,580,Wednesday,2,1,20
15,Curry Up Now,2,17:58,1078,Friday,4,2,9
16,Croutons,3,12:26,746,Wednesday,2,4,29
17,Seed + Sprout,8,12:23,743,Friday,4,6,40
18,Curry Up Now,2,17:12,1032,Monday,0,3,9
19,Sixty-Four North,9,14:24,864,Tuesday,1,1,19
20,Panda Express,1,10:34,634,Monday,0,2,2
21,Sixty-Four North,9,11:30,690,Sunday,6,1,9
22,Curry Up Now,2,20:14,1214,Friday,4,1,4
23,Panda Express,1,16:18,978,Monday,0,3,5
24,Santorini,7,20:38,1238,Wednesday,2,3,20
25,Caroline's,5,9:57,597,Tuesday,1,0,8
26,Bistro,13,18:42,1122,Friday,4,3,31
27,Burger King,0,14:28,868,Monday,0,2,9
28,Croutons,3,12:11,731,Sunday,6,5,29
29,Sixty-Four North,9,11:32,692,Sunday,6,2,15
30,Izakaya Underbelly,11,15:38,938,Thursday,3,2,18
31,Sixty-Four North,9,11:24,684,Friday,4,2,16
32,Blue Pepper,10,11:52,712,Thursday,3,4,27
33,Lemongrass,6,18:22,1102,Monday,0,2,29
34,Santorini,7,14:08,848,Friday,4,1,13
35,Curry Up Now,2,17:05,1025,Thursday,3,0,3
36,Canyon Vista,14,15:34,934,Saturday,5,3,16
37,Caroline's,5,10:29,629,Monday,0,3,17
38,Lemongrass,6,19:19,1159,Saturday,5,4,22
39,Burger King,0,19:21,1161,Tuesday,1,3,12
40,Bistro,13,17:34,1054,Wednesday,2,2,25
41,Curry Up Now,2,13:57,837,Thursday,3,0,5
42,Lemongrass,6,10:39,639,Monday,0,2,27
43,Panda Express,1,9:13,553,Monday,0,2,4
44,Lemongrass,6,12:49,769,Saturday,5,2,28
45,Croutons,3,10:44,644,Monday,0,1,14
46,Izakaya Underbelly,11,14:49,889,Sunday,6,3,20
47,Croutons,3,13:43,823,Monday,0,2,16
48,Roots,12,17:30,1050,Sunday,6,1,17
49,Izakaya Underbelly,11,20:29,1229,Monday,0,2,21
50,Sixty-Four North,9,14:38,878,Friday,4,2,20
51,Roots,12,14:25,865,Monday,0,2,24
52,Taco Villa,4,18:50,1130,Monday,0,2,14
53,Seed + Sprout,8,8:30,510,Wednesday,2,2,20
54,Panda Express,1,11:33,693,Friday,4,3,4
55,Lemongrass,6,10:54,654,Saturday,5,3,23
56,Seed + Sprout,8,8:17,497,Tuesday,1,2,23
57,Bistro,13,14:49,889,Sunday,6,0,17
58,Caroline's,5,9:45,585,Saturday,5,1,17
59,Taco Villa,4,19:43,1183,Tuesday,1,3,18
60,Curry Up Now,2,11:45,705,Wednesday,2,4,12
61,Bistro,13,16:14,974,Sunday,6,3,24
62,Roots,12,15:34,934,Tuesday,1,4,27
63,Panda Express,1,11:50,710,Tuesday,1,2,2
64,Sixty-Four North,9,11:45,705,Monday,0,5,23
65,Caroline's,5,10:31,631,Sunday,6,1,14
66,Seed + Sprout,8,13:12,792,Sunday,6,3,25
67,Bistro,13,15:26,926,Saturday,5,3,31
68,Santorini,7,14:05,845,Monday,0,0,7
69,Curry Up Now,2,16:52,1012,Monday,0,3,9
70,Canyon Vista,14,14:57,897,Tuesday,1,1,11
71,Roots,12,16:36,996,Friday,4,3,23
72,Canyon Vista,14,8:21,501,Thursday,3,1,7
73,Bistro,13,12:54,774,Friday,4,3,28
